"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.792163042E0,-9.064054035E-2,5.002439171E-3,6.981341600E-2,1.145191906E-1
1.802176042E0,-1.647820654E-1,5.160401702E-2,1.013310778E-1,2.002101171E-1
1.812188042E0,-2.324900087E-1,4.608885013E-2,1.850760698E-2,2.377358150E-1
1.822200042E0,-3.496482567E-1,1.454487585E-2,-6.588525653E-2,3.560987558E-1
1.832213042E0,-4.237996855E-1,-1.683018699E-2,-7.080042601E-2,4.300024755E-1
1.842225042E0,-4.014147898E-1,-4.206019163E-2,3.892725348E-2,4.054851714E-1
1.852238042E0,-2.464152624E-1,-6.899020113E-2,2.476547259E-1,3.561081193E-1
1.862250042E0,-7.964879818E-2,-1.575856778E-1,4.081584567E-1,4.447139560E-1
1.872263042E0,-5.046527177E-2,-3.233383079E-1,4.484118587E-1,5.551284536E-1
1.882275042E0,-2.038836390E-2,-4.939610839E-1,3.220973825E-1,5.900508127E-1
1.892288042E0,-4.796982631E-2,-6.123950482E-1,7.039813757E-2,6.182917573E-1
1.902300042E0,-7.733052336E-2,-6.110569129E-1,-1.926663405E-1,6.453610458E-1
1.912313042E0,7.175191417E-3,-5.481682813E-1,-3.748299122E-1,6.641064757E-1
1.922325042E0,1.715574169E-1,-4.293285933E-1,-5.559959489E-1,7.231089016E-1
1.932337042E0,3.489010556E-1,-2.753494781E-1,-7.327467531E-1,8.570105518E-1
1.942350042E0,5.439117641E-1,-7.907452852E-2,-8.711965406E-1,1.030085531E0
1.952362042E0,7.600726922E-1,1.220365070E-1,-8.780816370E-1,1.167746020E0
1.962375042E0,8.606359575E-1,3.299448576E-1,-7.393114221E-1,1.181583361E0
1.972387042E0,7.805463523E-1,5.144355480E-1,-4.460466599E-1,1.035786737E0
1.982400042E0,6.936967081E-1,6.230127878E-1,-1.195124102E-1,9.400230172E-1
1.992412042E0,5.896560305E-1,6.032261024E-1,1.499535996E-1,8.567742101E-1
2.002425042E0,4.668123885E-1,4.889406645E-1,3.306132674E-1,7.525170510E-1
2.012437042E0,3.986477412E-1,3.534828973E-1,4.151762849E-1,6.754565328E-1
2.022450042E0,3.569108275E-1,2.340101751E-1,4.689361703E-1,6.340719460E-1
2.032462042E0,2.978469327E-1,1.986192445E-1,5.288332933E-1,6.386133821E-1
2.042474042E0,2.364057063E-1,1.309350190E-1,5.241227764E-1,5.896917177E-1
2.052487042E0,1.363094142E-1,2.267038599E-2,4.147137702E-1,4.371289443E-1
2.062499042E0,-6.149816372E-2,-8.654449269E-2,2.476202273E-1,2.694211394E-1
2.072512042E0,-3.019492661E-1,-2.143103939E-1,7.930286229E-2,3.786703688E-1
2.082524042E0,-4.850385252E-1,-2.812281226E-1,-3.644101739E-2,5.618536959E-1
2.092537042E0,-5.442021149E-1,-3.004946981E-1,-7.262768090E-2,6.258816067E-1
2.102549042E0,-5.425778315E-1,-3.199336204E-1,-7.561677754E-2,6.344021767E-1
2.112562042E0,-5.306920501E-1,-3.159827299E-1,-8.317021072E-2,6.232145871E-1
2.122574042E0,-4.479063669E-1,-2.728575410E-1,-1.272465223E-1,5.396878993E-1
2.132587042E0,-3.999572251E-1,-2.183171254E-1,-1.628022712E-1,4.838726368E-1
2.142599042E0,-3.097449933E-1,-1.177734482E-1,-1.359208667E-1,3.581717856E-1
2.152611042E0,-1.337381011E-1,-5.996312343E-2,-8.352689087E-2,1.686955760E-1
2.162624333E0,-3.857349694E-2,-6.723406300E-2,-9.473074079E-3,7.809015960E-2
2.172636333E0,-6.070579290E-2,-1.150993703E-1,4.215257764E-2,1.367841297E-1
2.182649333E0,-1.057718919E-1,-1.479224230E-1,6.287978768E-2,1.924125881E-1
2.192661333E0,-1.185275929E-1,-1.277794960E-1,6.455676913E-2,1.858600719E-1
2.202674333E0,-8.089732490E-2,-3.689329952E-2,3.159835339E-2,9.436073687E-2
2.212686333E0,-2.269063197E-2,2.077749610E-2,-7.276275158E-3,3.161508032E-2
2.222699333E0,3.323849738E-2,4.769515336E-2,-4.315479040E-2,7.240139015E-2
2.232711333E0,1.111792508E-1,4.054298535E-2,-6.697517753E-2,1.359787993E-1
